11587558,1,3,הרב אברהם יצחק הכהן קוק מנהיג ובעל חזון גדול  תח עצום  ובעל מידות מיוחדות כעין טובה  דאגה לפרט ירידה לפרטים 
11781920,2,4,מרדכי  מוטה  גור היה בפעולת תגמול בחאן יונס  היה מפקד אוגדה 51 במלחמת ששת הימים בכיבוש של הר הבית עם המשפט המפורסם הר הבית בידנו   שם הפגין המון תכונות פיקודיות    דבקות במשימה מקצועיות קבלת החלטות בזמן קצר אסרטיביות חתירה למגע   מוטה גור לדעתי מוד
11783776,3,8,אבא שלי   חרף היותו בן למשפחה ממרוקו   בשנים של תחושת הקיפוח  לא ייחס לכך שום חשיבות ולא נכנס לתוך הביצה התובענית הזו ופרץ לעצמו דרך בשונה מבני שכונתו 
11785198,4,11,אריק שרון זל גיבור ישראל  על אריאל שרון למדתי הרבה מכיוון שהוא היה חלק חשוב מאוד ממלחמות ישראל וחלק ממהקצוע המורחב שלי היה היסטוריה צבאית  אדם שתרם רבות למדינה ובכך איפשר את קיומה אם זה הניצחון בכיפור בזכות רעיונו לחצות את התעלה ולכתר את הגייסות המיצריו
11786185,5,12,צרציל   אופטימיות מסחררת גם שמתים אזרחים לדעת שיהיה בסדר וחשוב מיכך לשדר את זה לעם משם הנאום המפורסם שלו שבדם יזע ודמעות   ניצחון   מעבר לזה הוא בן אדם שהיה מושא ללעז בפרלמנט הבריטי והנה הוא מוביל את העם הבריטי בתקופה השחורה ביותר שלו 
11788407,6,14,הדמות בה החרתי היא סבא שלי   הכונות אופי שנראות לי כחיויות הן   המסירות והחוזק המנטלי  הרצון להתקדם ולהגשים את עצמך 
11789585,7,18,משה רבינו  אדם מנהיג שסוחף אחריו עם שלם ואחרי כל מה שקרה לעם ישראל ושחלקם הפכו לקטני אמונה עדיין בא משה רבינו והצליח לגרור אותם אחריו  והוא זה שהיה מקבל מהעם על הראש ושותק ועדיין ממשיך במשימתו להוביל את בני ישראל ולהכניס אותם לארץ  וגם אחרי כל התלאות והצר
11789905,8,20,אריק שרון גדל והתחנך כבן מושב בכפר מלל  הוא היה מנהיג  צבאי ופוליטי  במדינת ישראל  אריק שירת כמפקד בכיר בפלמח והשתתף בכיבושים רבים במלחמת העמצאות שלנו  בכל רגע היה מוכן אריק להקריב את עצמו ואת חייו למען המדינה  מסירות הנפש שלו הייתה מדהימה  בצהל הוא הקי
11789931,9,25,דוד המלך מלך דגול שמעמדו לא השפיע עליו ועל האישיות שלו
11842876,10,29,טרומפלדור  היו לו תכונות של בנייית הארץ  ציונות  שירות במלוא מובן המילה  בחרתי דווקא בטרומפלדור כי פעם קראתי קטע שהוא כתב שעיקרו מדבר על עבודת הארץ ושמירה עליה בכל מחיר  שירות הארץ במה שצריך 
